rank,event_id,amount,failure_code,cause,strategy,recovery_probability,expected_recovered_amount,intervention_cost,expected_value,initial_action,final_action,safe_to_execute,rules_triggered
37,PAY_07993,35626.87,insufficient_funds,Insufficient funds,Retry after 24 hours,0.5931,21130.3,2.0,21128.3,retry_scheduled,escalate_to_human,False,['Recovery probability is ambiguous']
38,PAY_07920,24189.13,gateway_timeout,Gateway timeout,Retry immediately,0.8607,20819.58,2.0,20817.58,retry_now,retry_now,True,['All safety checks passed']
39,PAY_02446,33781.63,checkout_abandon,Checkout abandonment,Send payment link,0.616,20809.48,1.0,20808.48,send_payment_link,send_payment_link,True,['All safety checks passed']
40,PAY_02297,32746.9,insufficient_funds,Insufficient funds,Retry after 24 hours,0.6275,20548.68,2.0,20546.68,retry_scheduled,retry_scheduled,True,['All safety checks passed']
41,PAY_06326,32485.83,insufficient_funds,Insufficient funds,Retry after 24 hours,0.6283,20410.85,2.0,20408.85,retry_scheduled,retry_scheduled,True,['All safety checks passed']
42,PAY_09479,32796.26,checkout_abandon,Checkout abandonment,Send payment link,0.6158,20195.94,1.0,20194.94,send_payment_link,send_payment_link,True,['All safety checks passed']
43,PAY_05828,31332.23,insufficient_funds,Insufficient funds,Retry after 24 hours,0.636,19927.3,2.0,19925.3,retry_scheduled,retry_scheduled,True,['All safety checks passed']
44,PAY_01209,24481.64,gateway_timeout,Gateway timeout,Retry immediately,0.7845,19205.85,2.0,19203.85,retry_now,retry_now,True,['All safety checks passed']
45,PAY_06469,33442.87,insufficient_funds,Insufficient funds,Retry after 24 hours,0.5687,19018.96,2.0,19016.96,retry_scheduled,escalate_to_human,False,['Recovery probability is ambiguous']
46,PAY_01758,24141.56,gateway_timeout,Gateway timeout,Retry immediately,0.7861,18977.68,2.0,18975.68,retry_now,retry_now,True,['All safety checks passed']
47,PAY_08080,29857.83,insufficient_funds,Insufficient funds,Retry after 24 hours,0.6348,18953.75,2.0,18951.75,retry_scheduled,retry_scheduled,True,['All safety checks passed']
48,PAY_01417,23232.78,gateway_timeout,Gateway timeout,Retry immediately,0.8033,18662.89,2.0,18660.89,retry_now,retry_now,True,['All safety checks passed']
49,PAY_09363,48201.07,checkout_abandon,Checkout abandonment,Send payment link,0.3839,18504.39,1.0,18503.39,send_payment_link,send_payment_link,True,['All safety checks passed']
50,PAY_09392,36418.13,insufficient_funds,Insufficient funds,Retry after 24 hours,0.5009,18241.84,2.0,18239.84,retry_scheduled,escalate_to_human,False,['Recovery probability is ambiguous']
51,PAY_01078,41492.04,checkout_abandon,Checkout abandonment,Send payment link,0.439,18215.01,1.0,18214.01,send_payment_link,escalate_to_human,False,['Recovery probability is ambiguous']
52,PAY_04665,31093.52,insufficient_funds,Insufficient funds,Retry after 24 hours,0.5855,18205.26,2.0,18203.26,retry_scheduled,escalate_to_human,False,['Recovery probability is ambiguous']
53,PAY_03219,23345.02,gateway_timeout,Gateway timeout,Retry immediately,0.7699,17973.33,2.0,17971.33,retry_now,retry_now,True,['All safety checks passed']
54,PAY_03596,30235.89,insufficient_funds,Insufficient funds,Retry after 24 hours,0.5898,17833.13,2.0,17831.13,retry_scheduled,escalate_to_human,False,['Recovery probability is ambiguous']
55,PAY_03952,27116.75,insufficient_funds,Insufficient funds,Retry after 24 hours,0.6508,17647.58,2.0,17645.58,retry_scheduled,retry_scheduled,True,['All safety checks passed']
56,PAY_06910,25638.52,insufficient_funds,Insufficient funds,Retry after 24 hours,0.688,17639.3,2.0,17637.3,retry_scheduled,retry_scheduled,True,['All safety checks passed']
57,PAY_01346,25182.14,checkout_abandon,Checkout abandonment,Send payment link,0.6968,17546.92,1.0,17545.92,send_payment_link,send_payment_link,True,['All safety checks passed']
58,PAY_08528,29716.69,insufficient_funds,Insufficient funds,Retry after 24 hours,0.5755,17101.96,2.0,17099.96,retry_scheduled,escalate_to_human,False,['Recovery probability is ambiguous']
59,PAY_00031,21283.63,gateway_timeout,Gateway timeout,Retry immediately,0.7993,17012.01,2.0,17010.01,retry_now,retry_now,True,['All safety checks passed']
60,PAY_09265,26270.74,insufficient_funds,Insufficient funds,Retry after 24 hours,0.6474,17007.68,2.0,17005.68,retry_scheduled,retry_scheduled,True,['All safety checks passed']
61,PAY_09694,27844.21,checkout_abandon,Checkout abandonment,Send payment link,0.6095,16971.05,1.0,16970.05,send_payment_link,send_payment_link,True,['All safety checks passed']
62,PAY_07057,34035.14,checkout_abandon,Checkout abandonment,Send payment link,0.4978,16942.69,1.0,16941.69,send_payment_link,escalate_to_human,False,['Recovery probability is ambiguous']
63,PAY_01661,27200.7,insufficient_funds,Insufficient funds,Retry after 24 hours,0.6207,16883.47,2.0,16881.47,retry_scheduled,retry_scheduled,True,['All safety checks passed']
64,PAY_09006,38249.15,checkout_abandon,Checkout abandonment,Send payment link,0.4396,16814.33,1.0,16813.33,send_payment_link,escalate_to_human,False,['Recovery probability is ambiguous']
65,PAY_06041,21103.76,gateway_timeout,Gateway timeout,Retry immediately,0.7959,16796.48,2.0,16794.48,retry_now,retry_now,True,['All safety checks passed']
66,PAY_04184,26366.97,mandate_expired,Mandate expired,Send re-authorization link,0.6211,16376.53,1.0,16375.53,send_payment_link,send_payment_link,True,['All safety checks passed']
67,PAY_03425,41709.89,checkout_abandon,Checkout abandonment,Send payment link,0.3904,16283.54,1.0,16282.54,send_payment_link,send_payment_link,True,['All safety checks passed']
68,PAY_02127,22710.24,insufficient_funds,Insufficient funds,Retry after 24 hours,0.7146,16228.74,2.0,16226.74,retry_scheduled,retry_scheduled,True,['All safety checks passed']
69,PAY_07900,19202.96,gateway_timeout,Gateway timeout,Retry immediately,0.8432,16191.94,2.0,16189.94,retry_now,retry_now,True,['All safety checks passed']
70,PAY_09655,23764.63,gateway_timeout,Gateway timeout,Retry immediately,0.6805,16171.83,2.0,16169.83,retry_now,retry_now,True,['All safety checks passed']
71,PAY_04619,38381.65,mandate_expired,Mandate expired,Send re-authorization link,0.4195,16101.1,1.0,16100.1,send_payment_link,escalate_to_human,False,['Recovery probability is ambiguous']
72,PAY_06914,21209.84,gateway_timeout,Gateway timeout,Retry immediately,0.7581,16079.18,2.0,16077.18,retry_now,retry_now,True,['All safety checks passed']
73,PAY_07044,18813.15,gateway_timeout,Gateway timeout,Retry immediately,0.8458,15912.16,2.0,15910.16,retry_now,retry_now,True,['All safety checks passed']
74,PAY_08538,19009.46,gateway_timeout,Gateway timeout,Retry immediately,0.8339,15851.99,2.0,15849.99,retry_now,retry_now,True,['All safety checks passed']
75,PAY_04148,18370.01,gateway_timeout,Gateway timeout,Retry immediately,0.8583,15766.98,2.0,15764.98,retry_now,retry_now,True,['All safety checks passed']
76,PAY_08359,20083.31,gateway_timeout,Gateway timeout,Retry immediately,0.7724,15512.35,2.0,15510.35,retry_now,retry_now,True,['All safety checks passed']
77,PAY_00586,18422.77,gateway_timeout,Gateway timeout,Retry immediately,0.8414,15500.92,2.0,15498.92,retry_now,retry_now,True,['All safety checks passed']
78,PAY_08075,21241.83,gateway_timeout,Gateway timeout,Retry immediately,0.7221,15338.73,2.0,15336.73,retry_now,retry_now,True,['All safety checks passed']
79,PAY_04469,28302.74,checkout_abandon,Checkout abandonment,Send payment link,0.5419,15337.25,1.0,15336.25,send_payment_link,escalate_to_human,False,['Recovery probability is ambiguous']
80,PAY_07853,20790.59,insufficient_funds,Insufficient funds,Retry after 24 hours,0.736,15301.87,2.0,15299.87,retry_scheduled,retry_scheduled,True,['All safety checks passed']
81,PAY_09023,21070.97,gateway_timeout,Gateway timeout,Retry immediately,0.7224,15221.67,2.0,15219.67,retry_now,retry_now,True,['All safety checks passed']
82,PAY_08611,22291.77,gateway_timeout,Gateway timeout,Retry immediately,0.6755,15058.09,2.0,15056.09,retry_now,retry_now,True,['All safety checks passed']
83,PAY_05280,18022.73,gateway_timeout,Gateway timeout,Retry immediately,0.8334,15020.14,2.0,15018.14,retry_now,retry_now,True,['All safety checks passed']
84,PAY_05175,19610.33,gateway_timeout,Gateway timeout,Retry immediately,0.7653,15007.79,2.0,15005.79,retry_now,retry_now,True,['All safety checks passed']
85,PAY_09397,32618.46,mandate_expired,Mandate expired,Send re-authorization link,0.4536,14795.73,1.0,14794.73,send_payment_link,escalate_to_human,False,['Recovery probability is ambiguous']
86,PAY_05073,16946.76,gateway_timeout,Gateway timeout,Retry immediately,0.869,14726.73,2.0,14724.73,retry_now,retry_now,True,['All safety checks passed']
87,PAY_01535,18635.09,insufficient_funds,Insufficient funds,Retry after 24 hours,0.7809,14552.14,2.0,14550.14,retry_scheduled,retry_scheduled,True,['All safety checks passed']
88,PAY_00958,23552.01,insufficient_funds,Insufficient funds,Retry after 24 hours,0.6151,14486.84,2.0,14484.84,retry_scheduled,retry_scheduled,True,['All safety checks passed']
89,PAY_02994,27289.81,checkout_abandon,Checkout abandonment,Send payment link,0.5279,14406.29,1.0,14405.29,send_payment_link,escalate_to_human,False,['Recovery probability is ambiguous']
90,PAY_02000,22884.12,insufficient_funds,Insufficient funds,Retry after 24 hours,0.6267,14341.48,2.0,14339.48,retry_scheduled,retry_scheduled,True,['All safety checks passed']
91,PAY_06969,27485.74,mandate_expired,Mandate expired,Send re-authorization link,0.52,14292.58,1.0,14291.58,send_payment_link,escalate_to_human,False,['Recovery probability is ambiguous']
92,PAY_04807,18052.17,gateway_timeout,Gateway timeout,Retry immediately,0.7915,14288.29,2.0,14286.29,retry_now,retry_now,True,['All safety checks passed']
93,PAY_05170,23291.23,mandate_expired,Mandate expired,Send re-authorization link,0.6097,14200.66,1.0,14199.66,send_payment_link,send_payment_link,True,['All safety checks passed']
94,PAY_00906,19620.77,insufficient_funds,Insufficient funds,Retry after 24 hours,0.7237,14199.55,2.0,14197.55,retry_scheduled,retry_scheduled,True,['All safety checks passed']
95,PAY_08685,24451.88,insufficient_funds,Insufficient funds,Retry after 24 hours,0.5785,14145.41,2.0,14143.41,retry_scheduled,escalate_to_human,False,['Recovery probability is ambiguous']
96,PAY_05764,17178.53,gateway_timeout,Gateway timeout,Retry immediately,0.8219,14119.03,2.0,14117.03,retry_now,retry_now,True,['All safety checks passed']
97,PAY_09415,19225.83,gateway_timeout,Gateway timeout,Retry immediately,0.7233,13906.04,2.0,13904.04,retry_now,retry_now,True,['All safety checks passed']
98,PAY_02365,31443.6,mandate_expired,Mandate expired,Send re-authorization link,0.4418,13891.78,1.0,13890.78,send_payment_link,escalate_to_human,False,['Recovery probability is ambiguous']
99,PAY_09250,63420.33,card_expired,Card expired,Request payment method update,0.2191,13895.39,25.0,13870.39,escalate_to_human,escalate_to_human,True,['All safety checks passed']
100,PAY_06372,20835.56,insufficient_funds,Insufficient funds,Retry after 24 hours,0.6631,13816.06,2.0,13814.06,retry_scheduled,retry_scheduled,True,['All safety checks passed']
101,PAY_05098,25232.22,mandate_expired,Mandate expired,Send re-authorization link,0.5456,13766.7,1.0,13765.7,send_payment_link,escalate_to_human,False,['Recovery probability is ambiguous']
102,PAY_04956,19713.72,insufficient_funds,Insufficient funds,Retry after 24 hours,0.6978,13756.23,2.0,13754.23,retry_scheduled,retry_scheduled,True,['All safety checks passed']
103,PAY_06772,19833.52,insufficient_funds,Insufficient funds,Retry after 24 hours,0.6929,13742.65,2.0,13740.65,retry_scheduled,retry_scheduled,True,['All safety checks passed']
104,PAY_01477,20333.9,checkout_abandon,Checkout abandonment,Send payment link,0.6758,13741.65,1.0,13740.65,send_payment_link,send_payment_link,True,['All safety checks passed']
105,PAY_00245,21021.33,insufficient_funds,Insufficient funds,Retry after 24 hours,0.6529,13724.83,2.0,13722.83,retry_scheduled,retry_scheduled,True,['All safety checks passed']
106,PAY_02960,17588.31,gateway_timeout,Gateway timeout,Retry immediately,0.7725,13586.97,2.0,13584.97,retry_now,retry_now,True,['All safety checks passed']
107,PAY_08865,19369.45,insufficient_funds,Insufficient funds,Retry after 24 hours,0.6944,13450.15,2.0,13448.15,retry_scheduled,retry_scheduled,True,['All safety checks passed']
108,PAY_05870,18804.57,gateway_timeout,Gateway timeout,Retry immediately,0.7132,13411.42,2.0,13409.42,retry_now,retry_now,True,['All safety checks passed']
109,PAY_08855,17289.6,gateway_timeout,Gateway timeout,Retry immediately,0.7748,13395.98,2.0,13393.98,retry_now,retry_now,True,['All safety checks passed']
110,PAY_05696,22587.44,insufficient_funds,Insufficient funds,Retry after 24 hours,0.5927,13387.58,2.0,13385.58,retry_scheduled,escalate_to_human,False,['Recovery probability is ambiguous']
111,PAY_03676,17989.93,gateway_timeout,Gateway timeout,Retry immediately,0.7368,13254.98,2.0,13252.98,retry_now,retry_now,True,['All safety checks passed']
112,PAY_06282,32727.67,checkout_abandon,Checkout abandonment,Send payment link,0.4047,13244.89,1.0,13243.89,send_payment_link,escalate_to_human,False,['Recovery probability is ambiguous']
113,PAY_04612,18306.89,insufficient_funds,Insufficient funds,Retry after 24 hours,0.7204,13188.28,2.0,13186.28,retry_scheduled,retry_scheduled,True,['All safety checks passed']
114,PAY_03466,19691.46,insufficient_funds,Insufficient funds,Retry after 24 hours,0.6651,13096.79,2.0,13094.79,retry_scheduled,retry_scheduled,True,['All safety checks passed']
115,PAY_06362,15843.04,gateway_timeout,Gateway timeout,Retry immediately,0.8243,13059.42,2.0,13057.42,retry_now,retry_now,True,['All safety checks passed']
116,PAY_08319,18759.44,insufficient_funds,Insufficient funds,Retry after 24 hours,0.6959,13054.69,2.0,13052.69,retry_scheduled,retry_scheduled,True,['All safety checks passed']
117,PAY_06306,20364.67,insufficient_funds,Insufficient funds,Retry after 24 hours,0.6407,13047.64,2.0,13045.64,retry_scheduled,retry_scheduled,True,['All safety checks passed']
118,PAY_02307,17316.71,gateway_timeout,Gateway timeout,Retry immediately,0.7519,13020.43,2.0,13018.43,retry_now,retry_now,True,['All safety checks passed']
119,PAY_00139,18412.35,insufficient_funds,Insufficient funds,Retry after 24 hours,0.7058,12995.44,2.0,12993.44,retry_scheduled,retry_scheduled,True,['All safety checks passed']
120,PAY_06852,16504.48,gateway_timeout,Gateway timeout,Retry immediately,0.7847,12951.07,2.0,12949.07,retry_now,retry_now,True,['All safety checks passed']
121,PAY_02827,15775.24,gateway_timeout,Gateway timeout,Retry immediately,0.8175,12896.26,2.0,12894.26,retry_now,retry_now,True,['All safety checks passed']
122,PAY_00274,20276.43,insufficient_funds,Insufficient funds,Retry after 24 hours,0.6352,12879.59,2.0,12877.59,retry_scheduled,retry_scheduled,True,['All safety checks passed']
123,PAY_05430,24624.47,mandate_expired,Mandate expired,Send re-authorization link,0.5229,12876.14,1.0,12875.14,send_payment_link,escalate_to_human,False,['Recovery probability is ambiguous']
124,PAY_00926,16419.43,gateway_timeout,Gateway timeout,Retry immediately,0.7836,12866.27,2.0,12864.27,retry_now,retry_now,True,['All safety checks passed']
125,PAY_08358,15096.81,gateway_timeout,Gateway timeout,Retry immediately,0.8516,12856.44,2.0,12854.44,retry_now,retry_now,True,['All safety checks passed']
126,PAY_05761,27869.55,checkout_abandon,Checkout abandonment,Send payment link,0.4609,12845.08,1.0,12844.08,send_payment_link,escalate_to_human,False,['Recovery probability is ambiguous']
127,PAY_01412,23243.43,insufficient_funds,Insufficient funds,Retry after 24 hours,0.5509,12804.81,2.0,12802.81,retry_scheduled,escalate_to_human,False,['Recovery probability is ambiguous']
128,PAY_00747,15087.78,gateway_timeout,Gateway timeout,Retry immediately,0.8485,12801.98,2.0,12799.98,retry_now,retry_now,True,['All safety checks passed']
129,PAY_09958,29305.26,mandate_expired,Mandate expired,Send re-authorization link,0.4359,12774.16,1.0,12773.16,send_payment_link,escalate_to_human,False,['Recovery probability is ambiguous']
130,PAY_09057,18196.8,insufficient_funds,Insufficient funds,Retry after 24 hours,0.7019,12772.33,2.0,12770.33,retry_scheduled,retry_scheduled,True,['All safety checks passed']
131,PAY_02525,16598.95,gateway_timeout,Gateway timeout,Retry immediately,0.7688,12761.27,2.0,12759.27,retry_now,retry_now,True,['All safety checks passed']
132,PAY_02189,18675.58,checkout_abandon,Checkout abandonment,Send payment link,0.6822,12740.48,1.0,12739.48,send_payment_link,send_payment_link,True,['All safety checks passed']
133,PAY_02229,22245.83,insufficient_funds,Insufficient funds,Retry after 24 hours,0.5721,12726.84,2.0,12724.84,retry_scheduled,escalate_to_human,False,['Recovery probability is ambiguous']
134,PAY_00468,17348.77,gateway_timeout,Gateway timeout,Retry immediately,0.7331,12718.38,2.0,12716.38,retry_now,retry_now,True,['All safety checks passed']
135,PAY_01698,26866.96,checkout_abandon,Checkout abandonment,Send payment link,0.4716,12670.46,1.0,12669.46,send_payment_link,escalate_to_human,False,['Recovery probability is ambiguous']
136,PAY_02998,25721.2,checkout_abandon,Checkout abandonment,Send payment link,0.49,12603.39,1.0,12602.39,send_payment_link,escalate_to_human,False,['Recovery probability is ambiguous']
137,PAY_06859,23471.66,mandate_expired,Mandate expired,Send re-authorization link,0.5365,12592.55,1.0,12591.55,send_payment_link,escalate_to_human,False,['Recovery probability is ambiguous']
138,PAY_01457,24925.21,insufficient_funds,Insufficient funds,Retry after 24 hours,0.5031,12539.87,2.0,12537.87,retry_scheduled,escalate_to_human,False,['Recovery probability is ambiguous']
139,PAY_03003,17857.4,insufficient_funds,Insufficient funds,Retry after 24 hours,0.6937,12387.68,2.0,12385.68,retry_scheduled,retry_scheduled,True,['All safety checks passed']
140,PAY_00643,19471.96,insufficient_funds,Insufficient funds,Retry after 24 hours,0.6354,12372.48,2.0,12370.48,retry_scheduled,retry_scheduled,True,['All safety checks passed']
141,PAY_07963,19459.01,insufficient_funds,Insufficient funds,Retry after 24 hours,0.6356,12368.15,2.0,12366.15,retry_scheduled,retry_scheduled,True,['All safety checks passed']
142,PAY_00163,21005.0,insufficient_funds,Insufficient funds,Retry after 24 hours,0.5853,12294.23,2.0,12292.23,retry_scheduled,escalate_to_human,False,['Recovery probability is ambiguous']
143,PAY_08753,17935.48,insufficient_funds,Insufficient funds,Retry after 24 hours,0.6854,12292.98,2.0,12290.98,retry_scheduled,retry_scheduled,True,['All safety checks passed']
144,PAY_04473,14908.2,gateway_timeout,Gateway timeout,Retry immediately,0.8239,12282.87,2.0,12280.87,retry_now,retry_now,True,['All safety checks passed']
145,PAY_06143,17783.95,insufficient_funds,Insufficient funds,Retry after 24 hours,0.6861,12201.57,2.0,12199.57,retry_scheduled,retry_scheduled,True,['All safety checks passed']
146,PAY_03844,15906.92,gateway_timeout,Gateway timeout,Retry immediately,0.7658,12181.52,2.0,12179.52,retry_now,retry_now,True,['All safety checks passed']
147,PAY_06077,19526.4,mandate_expired,Mandate expired,Send re-authorization link,0.6211,12127.85,1.0,12126.85,send_payment_link,send_payment_link,True,['All safety checks passed']
148,PAY_01664,15098.24,gateway_timeout,Gateway timeout,Retry immediately,0.8026,12117.85,2.0,12115.85,retry_now,retry_now,True,['All safety checks passed']
149,PAY_01878,15259.55,gateway_timeout,Gateway timeout,Retry immediately,0.7936,12109.98,2.0,12107.98,retry_now,retry_now,True,['All safety checks passed']
150,PAY_00993,15039.21,gateway_timeout,Gateway timeout,Retry immediately,0.8052,12109.57,2.0,12107.57,retry_now,retry_now,True,['All safety checks passed']
151,PAY_08332,23614.48,checkout_abandon,Checkout abandonment,Send payment link,0.5124,12100.06,1.0,12099.06,send_payment_link,escalate_to_human,False,['Recovery probability is ambiguous']
152,PAY_04091,24357.25,checkout_abandon,Checkout abandonment,Send payment link,0.4952,12061.71,1.0,12060.71,send_payment_link,escalate_to_human,False,['Recovery probability is ambiguous']
153,PAY_02496,22803.9,mandate_expired,Mandate expired,Send re-authorization link,0.5282,12045.02,1.0,12044.02,send_payment_link,escalate_to_human,False,['Recovery probability is ambiguous']
154,PAY_01355,16932.68,insufficient_funds,Insufficient funds,Retry after 24 hours,0.7093,12010.35,2.0,12008.35,retry_scheduled,retry_scheduled,True,['All safety checks passed']
155,PAY_04869,21536.7,mandate_expired,Mandate expired,Send re-authorization link,0.5565,11985.17,1.0,11984.17,send_payment_link,escalate_to_human,False,['Recovery probability is ambiguous']
156,PAY_05562,30130.71,mandate_expired,Mandate expired,Send re-authorization link,0.3969,11958.88,1.0,11957.88,send_payment_link,send_payment_link,True,['All safety checks passed']
157,PAY_08901,20620.3,insufficient_funds,Insufficient funds,Retry after 24 hours,0.5792,11943.28,2.0,11941.28,retry_scheduled,escalate_to_human,False,['Recovery probability is ambiguous']
158,PAY_09539,26274.65,checkout_abandon,Checkout abandonment,Send payment link,0.4541,11931.32,1.0,11930.32,send_payment_link,escalate_to_human,False,['Recovery probability is ambiguous']
159,PAY_02288,24378.98,checkout_abandon,Checkout abandonment,Send payment link,0.4854,11833.56,1.0,11832.56,send_payment_link,escalate_to_human,False,['Recovery probability is ambiguous']
160,PAY_06500,23244.9,checkout_abandon,Checkout abandonment,Send payment link,0.5073,11792.14,1.0,11791.14,send_payment_link,escalate_to_human,False,['Recovery probability is ambiguous']
161,PAY_06367,13842.08,gateway_timeout,Gateway timeout,Retry immediately,0.8515,11786.53,2.0,11784.53,retry_now,retry_now,True,['All safety checks passed']
162,PAY_07997,19236.01,insufficient_funds,Insufficient funds,Retry after 24 hours,0.6104,11741.66,2.0,11739.66,retry_scheduled,retry_scheduled,True,['All safety checks passed']
163,PAY_03099,18718.97,checkout_abandon,Checkout abandonment,Send payment link,0.6268,11733.05,1.0,11732.05,send_payment_link,send_payment_link,True,['All safety checks passed']
164,PAY_08224,14770.18,gateway_timeout,Gateway timeout,Retry immediately,0.7879,11637.42,2.0,11635.42,retry_now,retry_now,True,['All safety checks passed']
165,PAY_06729,15604.99,gateway_timeout,Gateway timeout,Retry immediately,0.7453,11630.4,2.0,11628.4,retry_now,retry_now,True,['All safety checks passed']
