event_id,amount,failure_code,customer_tenure_months,past_successful_payments,past_failed_payments,checkout_funnel_depth,time_since_failure,label_recovered
PAY_00079,4673.37,checkout_abandon,16,4,3,5,12.1,1
PAY_00080,1834.82,other,13,6,1,0,2.87,1
PAY_00081,3947.43,mandate_expired,20,9,1,0,3.14,1
PAY_00082,1289.64,card_expired,47,10,0,0,5.65,0
PAY_00083,1738.87,gateway_timeout,10,5,2,0,3.69,1
PAY_00084,1706.68,checkout_abandon,8,10,2,1,11.35,0
PAY_00085,756.12,other,13,16,2,0,2.27,0
PAY_00086,4068.45,gateway_timeout,20,5,0,0,3.97,1
PAY_00087,1563.44,card_expired,12,7,3,0,2.66,0
PAY_00088,2531.43,checkout_abandon,12,12,0,4,0.18,0
PAY_00089,4043.2,insufficient_funds,35,3,3,0,0.94,1
PAY_00090,3907.2,checkout_abandon,7,5,1,5,12.13,1
PAY_00091,4863.1,insufficient_funds,10,6,2,0,30.29,0
PAY_00092,2265.52,insufficient_funds,51,9,0,0,7.21,1
PAY_00093,1637.21,insufficient_funds,2,7,1,0,37.28,1
PAY_00094,2308.44,insufficient_funds,4,7,3,0,5.95,0
PAY_00095,462.53,gateway_timeout,5,10,1,0,34.65,1
PAY_00096,588.12,other,33,7,2,0,0.23,1
PAY_00097,666.04,gateway_timeout,42,7,4,0,11.4,1
PAY_00098,922.23,card_expired,42,10,2,0,1.08,0
PAY_00099,3728.72,checkout_abandon,42,4,1,3,6.53,1
PAY_00100,1010.87,insufficient_funds,4,9,3,0,18.8,1
PAY_00101,1712.8,insufficient_funds,21,11,3,0,35.36,0
PAY_00102,9166.17,other,39,3,1,0,11.67,0
PAY_00103,1750.72,checkout_abandon,41,10,0,5,22.25,1
PAY_00104,5226.84,other,21,4,3,0,3.17,0
PAY_00105,982.82,gateway_timeout,51,8,3,0,16.66,1
PAY_00106,2035.73,mandate_expired,51,6,3,0,0.96,1
PAY_00107,966.83,card_expired,46,17,4,0,16.9,0
PAY_00108,1781.15,other,48,6,0,0,8.59,0
PAY_00109,5792.7,insufficient_funds,59,11,2,0,66.4,0
PAY_00110,444.4,other,48,8,1,0,21.67,0
PAY_00111,3860.18,gateway_timeout,36,12,5,0,9.32,1
PAY_00112,3170.93,card_expired,24,6,2,0,21.53,0
PAY_00113,1380.08,checkout_abandon,22,6,1,2,2.92,1
PAY_00114,588.74,checkout_abandon,50,10,2,4,5.65,0
PAY_00115,2686.99,gateway_timeout,18,5,3,0,11.35,1
PAY_00116,1472.26,card_expired,38,7,3,0,4.79,1
PAY_00117,3154.93,gateway_timeout,31,11,2,0,2.24,1
PAY_00118,2555.23,checkout_abandon,23,8,2,2,0.1,0
PAY_00119,12404.63,checkout_abandon,28,7,3,3,2.09,0
PAY_00120,1967.84,mandate_expired,5,8,3,0,65.04,0
PAY_00121,898.34,checkout_abandon,43,3,1,1,4.42,0
PAY_00122,2990.88,mandate_expired,5,8,3,0,1.08,0
PAY_00123,3115.18,checkout_abandon,5,5,1,4,0.22,1
PAY_00124,9732.57,mandate_expired,16,5,0,0,11.44,0
PAY_00125,5762.68,mandate_expired,32,13,2,0,9.83,1
PAY_00126,3572.13,mandate_expired,18,11,0,0,1.42,1
PAY_00127,10800.51,card_expired,53,6,1,0,32.9,1
PAY_00128,761.49,checkout_abandon,56,10,2,3,4.32,1
PAY_00129,1318.56,insufficient_funds,24,3,1,0,8.09,0
PAY_00130,989.77,mandate_expired,60,16,1,0,1.39,1
PAY_00131,1692.96,insufficient_funds,6,21,4,0,11.61,0
PAY_00132,631.03,insufficient_funds,9,8,2,0,3.81,1
PAY_00133,4718.27,card_expired,21,9,3,0,7.29,0
PAY_00134,2001.84,gateway_timeout,57,9,3,0,15.56,1
PAY_00135,574.35,checkout_abandon,31,8,3,1,5.65,0
PAY_00136,905.48,other,43,6,0,0,3.48,0
PAY_00137,3420.56,insufficient_funds,40,12,3,0,1.24,1
PAY_00138,5780.08,insufficient_funds,30,11,1,0,40.42,1
PAY_00139,18412.35,insufficient_funds,56,4,0,0,2.48,1
PAY_00140,46069.6,insufficient_funds,58,6,1,0,0.77,1
PAY_00141,3783.69,mandate_expired,27,14,2,0,24.32,1
PAY_00142,929.37,card_expired,43,11,3,0,20.98,1
PAY_00143,296.49,checkout_abandon,38,9,7,2,15.62,0
PAY_00144,3267.42,gateway_timeout,36,5,2,0,3.9,1
PAY_00145,1108.88,checkout_abandon,7,11,3,4,15.09,1
PAY_00146,1650.26,insufficient_funds,13,13,2,0,0.18,0
PAY_00147,1355.53,mandate_expired,60,6,1,0,32.75,1
PAY_00148,2171.68,checkout_abandon,15,4,3,2,14.13,0
PAY_00149,7259.21,insufficient_funds,40,9,1,0,31.11,1
PAY_00150,2925.13,card_expired,55,7,5,0,8.4,0
PAY_00151,2133.27,card_expired,37,11,2,0,16.06,0
PAY_00152,887.49,gateway_timeout,13,6,2,0,8.54,1
PAY_00153,468.42,mandate_expired,52,8,1,0,4.36,1
PAY_00154,1537.23,checkout_abandon,2,8,1,2,45.02,1
PAY_00155,2369.1,insufficient_funds,44,11,1,0,32.54,1
PAY_00156,14646.78,insufficient_funds,16,9,3,0,7.4,1
PAY_00157,2847.85,mandate_expired,39,13,0,0,1.67,0
PAY_00158,6679.41,other,29,6,1,0,0.35,0
PAY_00159,1517.4,checkout_abandon,35,11,2,4,43.67,1
PAY_00160,764.41,checkout_abandon,23,12,1,1,11.79,0
PAY_00161,952.35,mandate_expired,32,7,2,0,2.62,1
PAY_00162,1210.54,gateway_timeout,57,12,1,0,11.12,1
PAY_00163,21005.0,insufficient_funds,50,7,7,0,34.04,0
PAY_00164,1099.55,gateway_timeout,26,13,1,0,24.2,1
PAY_00165,5782.18,other,57,2,2,0,11.85,0
PAY_00166,1013.45,card_expired,54,6,1,0,31.81,0
PAY_00167,6346.25,other,38,9,1,0,6.2,0
PAY_00168,3673.86,insufficient_funds,36,12,2,0,1.02,1
PAY_00169,2137.53,checkout_abandon,3,6,2,1,10.95,0
PAY_00170,2400.14,checkout_abandon,32,7,3,3,14.86,0
PAY_00171,1298.88,insufficient_funds,13,8,3,0,12.45,1
PAY_00172,3905.41,insufficient_funds,10,5,3,0,5.46,1
PAY_00173,1586.15,card_expired,52,6,3,0,17.39,1
PAY_00174,733.95,mandate_expired,17,3,3,0,20.11,1
PAY_00175,696.53,mandate_expired,37,6,2,0,1.13,0
PAY_00176,2970.94,gateway_timeout,53,11,1,0,0.36,1
PAY_00177,12126.36,checkout_abandon,36,3,3,4,0.99,0
PAY_00178,2933.75,insufficient_funds,47,9,5,0,1.11,0
PAY_00179,2220.32,insufficient_funds,47,7,1,0,1.26,1
PAY_00180,3327.15,checkout_abandon,27,13,3,1,26.11,0
PAY_00181,9228.46,gateway_timeout,56,10,3,0,3.86,1
PAY_00182,3113.27,other,55,10,3,0,2.84,0
PAY_00183,1657.59,checkout_abandon,21,6,3,4,21.8,0
PAY_00184,7557.79,insufficient_funds,50,6,2,0,7.02,1
PAY_00185,3838.37,insufficient_funds,11,12,1,0,1.34,0
PAY_00186,11612.09,mandate_expired,7,9,2,0,0.32,0
PAY_00187,3002.74,insufficient_funds,32,11,3,0,7.82,1
PAY_00188,734.78,insufficient_funds,37,8,0,0,3.44,1
PAY_00189,636.44,gateway_timeout,36,10,0,0,10.32,1
PAY_00190,13029.53,gateway_timeout,48,8,1,0,2.28,1
PAY_00191,14012.59,checkout_abandon,24,11,2,2,1.57,0
PAY_00192,2089.18,checkout_abandon,49,5,1,5,1.52,1
PAY_00193,1704.21,insufficient_funds,55,11,2,0,1.29,0
PAY_00194,10780.46,card_expired,6,6,2,0,28.5,0
PAY_00195,826.34,gateway_timeout,27,9,0,0,14.33,1
PAY_00196,1021.8,checkout_abandon,14,19,1,4,6.98,0
PAY_00197,4757.0,insufficient_funds,40,10,1,0,3.59,1
PAY_00198,1684.87,checkout_abandon,25,9,3,2,19.99,0
PAY_00199,2487.23,gateway_timeout,17,12,4,0,2.23,0
PAY_00200,2123.04,checkout_abandon,16,12,3,5,13.43,0
PAY_00201,3503.86,gateway_timeout,22,5,1,0,10.4,1
PAY_00202,10214.14,other,7,12,1,0,6.45,0
PAY_00203,2737.04,insufficient_funds,7,11,3,0,0.21,0
PAY_00204,4759.91,other,38,11,2,0,4.42,0
PAY_00205,321.78,other,57,10,1,0,8.67,0
PAY_00206,2381.12,gateway_timeout,31,4,4,0,3.09,1
PAY_00207,1075.8,gateway_timeout,56,15,1,0,19.07,0
PAY_00208,738.95,gateway_timeout,10,4,0,0,3.6,0
PAY_00209,1038.87,other,59,8,3,0,44.52,0
PAY_00210,1789.91,checkout_abandon,36,4,2,4,4.37,0
PAY_00211,6247.57,checkout_abandon,45,4,1,4,19.87,1
PAY_00212,663.58,insufficient_funds,4,11,1,0,8.33,1
PAY_00213,2577.76,card_expired,37,11,4,0,3.2,1
PAY_00214,1540.52,insufficient_funds,23,9,1,0,0.97,1
PAY_00215,1801.5,insufficient_funds,54,8,4,0,10.18,0
PAY_00216,6814.47,gateway_timeout,48,4,1,0,39.72,1
PAY_00217,4281.94,checkout_abandon,52,7,1,2,3.26,0
PAY_00218,9522.8,other,54,7,2,0,0.72,0
PAY_00219,2142.1,card_expired,44,8,4,0,0.46,0
PAY_00220,1246.51,insufficient_funds,15,11,1,0,12.33,1
PAY_00221,1998.57,gateway_timeout,17,4,1,0,2.88,1
PAY_00222,3186.07,card_expired,52,6,2,0,42.26,0
PAY_00223,2982.8,checkout_abandon,37,8,0,3,18.29,0
PAY_00224,845.27,insufficient_funds,54,7,4,0,0.25,1
PAY_00225,2736.78,gateway_timeout,48,8,3,0,11.0,0
PAY_00226,3140.93,checkout_abandon,37,4,3,3,29.87,0
PAY_00227,30993.11,other,10,9,2,0,0.94,0
PAY_00228,16332.15,mandate_expired,59,15,1,0,14.94,1
PAY_00229,1065.08,insufficient_funds,15,15,1,0,2.61,1
PAY_00230,1875.56,mandate_expired,15,8,5,0,12.02,1
PAY_00231,578.6,gateway_timeout,9,11,3,0,6.8,1
PAY_00232,1384.84,card_expired,5,12,1,0,2.66,0
PAY_00233,3427.72,gateway_timeout,23,8,3,0,18.08,1
PAY_00234,8349.02,insufficient_funds,51,8,4,0,16.79,1
PAY_00235,1205.88,checkout_abandon,52,6,0,4,8.45,0
PAY_00236,1299.71,gateway_timeout,30,8,3,0,1.2,1
PAY_00237,292.0,insufficient_funds,19,7,4,0,11.33,0
PAY_00238,2124.69,checkout_abandon,21,11,3,5,5.81,1
PAY_00239,864.05,card_expired,56,8,1,0,9.72,0
PAY_00240,1472.34,card_expired,4,12,2,0,7.06,0
PAY_00241,1040.22,gateway_timeout,4,5,0,0,14.43,1
PAY_00242,2275.11,insufficient_funds,4,5,1,0,12.38,0
PAY_00243,431.09,checkout_abandon,54,8,3,3,1.45,0
PAY_00244,576.51,gateway_timeout,6,9,1,0,10.3,1
PAY_00245,21021.33,insufficient_funds,57,8,5,0,28.21,1
PAY_00246,689.95,other,12,13,1,0,1.99,0
PAY_00247,834.86,other,33,10,2,0,12.83,0
PAY_00248,15692.84,insufficient_funds,59,4,2,0,1.63,1
PAY_00249,45666.18,card_expired,7,7,4,0,23.28,0
PAY_00250,774.7,mandate_expired,17,8,4,0,13.32,0
PAY_00251,1729.86,gateway_timeout,44,3,2,0,9.04,1
PAY_00252,3517.84,mandate_expired,50,8,1,0,5.69,0
PAY_00253,14083.28,insufficient_funds,55,6,4,0,13.68,0
PAY_00254,931.87,insufficient_funds,2,9,1,0,45.69,1
PAY_00255,1956.22,other,47,10,2,0,1.94,0
PAY_00256,5439.18,mandate_expired,20,13,2,0,1.87,0
PAY_00257,3861.5,gateway_timeout,34,4,5,0,23.98,1
PAY_00258,1716.24,checkout_abandon,55,4,1,4,42.88,0
PAY_00259,2186.86,other,55,4,5,0,12.48,0
PAY_00260,632.16,gateway_timeout,12,9,3,0,0.92,1
PAY_00261,1970.16,other,29,8,1,0,23.24,0
PAY_00262,1915.36,card_expired,18,17,2,0,8.91,0
PAY_00263,3153.33,gateway_timeout,37,13,6,0,2.9,1
PAY_00264,1434.71,mandate_expired,50,10,1,0,20.48,1
PAY_00265,4006.14,mandate_expired,20,10,2,0,27.84,1
PAY_00266,6882.67,card_expired,8,11,2,0,1.75,1
PAY_00267,2920.4,gateway_timeout,4,14,1,0,5.83,0
PAY_00268,3553.91,insufficient_funds,4,8,1,0,45.22,0
PAY_00269,2636.48,insufficient_funds,22,11,2,0,21.57,0
PAY_00270,2500.21,checkout_abandon,58,8,0,4,11.0,1
PAY_00271,1214.99,card_expired,16,7,2,0,22.99,0
PAY_00272,3430.77,card_expired,25,11,2,0,48.64,0
PAY_00273,2268.24,checkout_abandon,41,2,4,2,1.33,0
PAY_00274,20276.43,insufficient_funds,40,7,2,0,20.25,1
PAY_00275,12057.0,insufficient_funds,17,7,3,0,14.08,1
PAY_00276,3677.15,card_expired,8,9,2,0,7.25,0
PAY_00277,1165.6,checkout_abandon,10,13,7,5,22.57,0
PAY_00278,821.91,card_expired,14,5,0,0,5.98,0
PAY_00279,8227.1,insufficient_funds,6,10,1,0,4.25,0
PAY_00280,3251.25,gateway_timeout,28,13,1,0,11.87,1
PAY_00281,4040.77,other,39,12,4,0,12.49,0
PAY_00282,436.79,insufficient_funds,41,6,2,0,11.47,1
PAY_00283,6320.06,insufficient_funds,55,7,0,0,4.15,1
PAY_00284,3938.15,mandate_expired,18,11,1,0,13.8,0
PAY_00285,823.54,checkout_abandon,40,6,2,2,0.53,0
PAY_00286,1560.12,other,54,9,2,0,16.08,0
PAY_00287,3254.4,other,2,9,3,0,11.72,0
PAY_00288,2634.67,mandate_expired,47,9,2,0,26.46,1
PAY_00289,1866.6,insufficient_funds,6,7,2,0,8.57,1
PAY_00290,2254.22,checkout_abandon,34,7,1,4,8.88,1
PAY_00291,1943.16,other,50,6,5,0,4.04,0
PAY_00292,2912.04,gateway_timeout,28,6,1,0,18.56,1
PAY_00293,10889.32,other,34,7,1,0,4.66,0
PAY_00294,191.98,mandate_expired,38,6,2,0,5.04,0
PAY_00295,1972.77,insufficient_funds,35,4,2,0,4.59,0
PAY_00296,2982.62,checkout_abandon,44,7,2,4,8.98,1
PAY_00297,3361.16,mandate_expired,52,14,0,0,5.58,0
PAY_00298,1723.53,insufficient_funds,9,9,4,0,4.51,1
PAY_00299,431.52,gateway_timeout,25,13,0,0,22.55,1
PAY_00300,3470.46,mandate_expired,52,4,1,0,8.54,0
PAY_00301,14064.32,insufficient_funds,23,4,1,0,5.81,1
PAY_00302,539.25,gateway_timeout,30,7,1,0,10.94,1
PAY_00303,5930.56,mandate_expired,45,9,2,0,18.14,0
PAY_00304,1799.96,card_expired,57,6,1,0,0.31,0
PAY_00305,2351.3,checkout_abandon,16,7,1,5,4.34,1
PAY_00306,872.31,other,58,11,5,0,1.77,0
PAY_00307,1789.32,other,43,8,2,0,15.64,0
PAY_00308,9173.65,checkout_abandon,2,12,4,5,6.74,0
PAY_00309,4476.97,insufficient_funds,52,10,3,0,25.88,1
PAY_00310,14134.27,card_expired,24,6,0,0,8.16,1
PAY_00311,8114.91,insufficient_funds,17,4,3,0,17.05,1
PAY_00312,3878.22,card_expired,32,7,4,0,3.26,0
PAY_00313,14299.51,checkout_abandon,35,11,2,2,11.92,0
PAY_00314,3877.86,gateway_timeout,33,6,3,0,46.68,0
PAY_00315,5721.77,checkout_abandon,4,9,2,3,4.01,1
PAY_00316,1858.41,checkout_abandon,50,7,3,3,12.18,1
PAY_00317,2672.02,other,21,7,2,0,2.25,0
PAY_00318,1244.67,insufficient_funds,9,5,2,0,4.68,1
PAY_00319,6725.29,other,34,9,1,0,22.4,0
PAY_00320,769.5,insufficient_funds,38,10,1,0,7.65,1
PAY_00321,5466.51,card_expired,7,7,1,0,3.17,0
PAY_00322,2066.05,other,57,9,3,0,16.39,0
PAY_00323,8065.03,gateway_timeout,37,9,3,0,6.58,0
PAY_00324,5297.1,insufficient_funds,60,10,3,0,6.26,1
PAY_00325,15439.62,card_expired,41,10,0,0,25.58,1
PAY_00326,5191.72,card_expired,1,6,4,0,13.98,0
PAY_00327,519.05,gateway_timeout,13,8,3,0,35.1,0
PAY_00328,2338.1,checkout_abandon,59,4,2,2,0.65,0
PAY_00329,774.36,card_expired,34,13,3,0,17.08,0
PAY_00330,1488.86,insufficient_funds,8,8,0,0,7.88,0
PAY_00331,11330.74,checkout_abandon,5,6,3,4,6.81,1
PAY_00332,4729.52,gateway_timeout,33,5,1,0,28.93,1
PAY_00333,1242.79,insufficient_funds,36,6,2,0,8.31,0
PAY_00334,907.17,card_expired,15,8,3,0,22.9,0
PAY_00335,2583.31,gateway_timeout,12,9,1,0,9.44,1
PAY_00336,740.62,other,37,8,0,0,0.53,0
PAY_00337,1277.81,checkout_abandon,27,7,1,4,22.95,1
PAY_00338,3415.42,checkout_abandon,3,8,4,2,5.4,1
PAY_00339,7937.53,gateway_timeout,4,0,4,0,3.33,0
PAY_00340,4595.38,gateway_timeout,15,6,3,0,11.63,0
PAY_00341,252.84,card_expired,34,13,0,0,16.15,0
PAY_00342,3389.42,mandate_expired,19,9,1,0,4.36,0
PAY_00343,2686.73,card_expired,1,11,2,0,54.78,0
PAY_00344,3781.73,gateway_timeout,55,12,4,0,0.1,1
PAY_00345,12584.93,gateway_timeout,42,8,0,0,15.7,1
PAY_00346,317.6,insufficient_funds,36,8,1,0,2.08,1
PAY_00347,1384.29,card_expired,15,10,1,0,17.28,1
PAY_00348,4514.06,gateway_timeout,43,6,2,0,26.91,0
PAY_00349,514.12,checkout_abandon,57,5,1,5,11.94,0
PAY_00350,10937.97,checkout_abandon,41,7,2,5,16.57,0
PAY_00351,3613.39,gateway_timeout,18,7,3,0,7.85,1
PAY_00352,5829.17,mandate_expired,24,9,1,0,2.87,1
PAY_00353,1412.48,checkout_abandon,56,10,5,5,6.4,0
PAY_00354,5640.96,other,1,6,0,0,1.27,0
PAY_00355,7277.32,insufficient_funds,14,7,4,0,3.11,1
PAY_00356,3155.57,checkout_abandon,7,9,1,1,0.1,1
PAY_00357,3160.38,insufficient_funds,39,7,0,0,16.64,1
PAY_00358,3276.04,card_expired,28,7,2,0,14.33,0
PAY_00359,1054.37,checkout_abandon,8,8,2,3,4.15,0
PAY_00360,2157.09,gateway_timeout,57,12,4,0,1.67,1
PAY_00361,2146.35,card_expired,34,10,2,0,20.93,0
PAY_00362,3668.14,checkout_abandon,15,6,2,3,2.25,1
PAY_00363,6794.51,insufficient_funds,57,12,2,0,27.74,1
PAY_00364,867.41,checkout_abandon,42,12,1,4,9.75,1
PAY_00365,2206.22,insufficient_funds,8,5,3,0,3.93,0
PAY_00366,10998.36,other,50,11,3,0,1.24,0
PAY_00367,1188.51,mandate_expired,4,6,4,0,4.77,1
PAY_00368,1098.6,card_expired,55,8,0,0,8.16,1
PAY_00369,3060.56,other,24,8,2,0,16.79,1
PAY_00370,5816.37,card_expired,18,10,1,0,17.69,0
PAY_00371,2528.73,gateway_timeout,4,2,2,0,49.53,1
PAY_00372,9442.79,insufficient_funds,56,13,1,0,7.83,0
PAY_00373,5888.99,gateway_timeout,34,8,4,0,9.24,1
PAY_00374,5801.47,other,37,6,6,0,14.56,1
PAY_00375,4351.01,other,52,6,2,0,24.94,0
PAY_00376,25634.62,card_expired,31,6,3,0,19.49,0
PAY_00377,2036.29,insufficient_funds,18,9,5,0,29.6,1
PAY_00378,337.15,insufficient_funds,47,8,0,0,5.08,1
PAY_00379,12435.37,other,32,7,0,0,5.51,0
PAY_00380,1581.84,insufficient_funds,15,6,2,0,9.03,0
PAY_00381,2784.79,checkout_abandon,51,7,0,1,0.92,0
PAY_00382,9261.27,gateway_timeout,49,5,0,0,9.71,0
PAY_00383,503.6,gateway_timeout,15,9,3,0,8.45,0
PAY_00384,715.08,mandate_expired,39,8,1,0,21.4,0
PAY_00385,504.1,other,56,10,0,0,27.3,0
PAY_00386,1129.93,card_expired,48,5,1,0,0.63,0
PAY_00387,3880.36,checkout_abandon,12,5,3,1,10.22,0
PAY_00388,4222.72,gateway_timeout,52,11,0,0,12.07,1
PAY_00389,3295.52,other,4,4,3,0,18.25,0
PAY_00390,608.67,checkout_abandon,38,5,2,4,15.13,1
PAY_00391,248.13,checkout_abandon,31,15,1,2,37.56,1
PAY_00392,2639.64,mandate_expired,3,6,1,0,4.29,1
PAY_00393,1559.73,insufficient_funds,44,6,1,0,9.39,1
PAY_00394,3957.75,insufficient_funds,18,7,2,0,2.5,0
PAY_00395,5044.23,card_expired,52,6,1,0,1.59,0
PAY_00396,2870.63,checkout_abandon,53,11,5,4,42.77,0
PAY_00397,5346.4,insufficient_funds,36,7,1,0,5.22,1
PAY_00398,3144.02,gateway_timeout,38,9,1,0,10.35,0
PAY_00399,4247.61,other,4,7,2,0,3.56,0
PAY_00400,1235.68,mandate_expired,54,3,2,0,7.15,1
PAY_00401,2088.99,mandate_expired,41,9,2,0,0.99,1
PAY_00402,3043.68,insufficient_funds,24,3,3,0,20.37,0
PAY_00403,5679.25,other,6,3,2,0,23.74,0
PAY_00404,1686.32,other,31,6,1,0,9.58,0
PAY_00405,4209.98,checkout_abandon,55,5,2,3,30.42,0
PAY_00406,1916.41,gateway_timeout,52,10,2,0,3.33,1
PAY_00407,2222.76,mandate_expired,6,4,3,0,6.0,0
PAY_00408,5730.54,card_expired,46,8,1,0,37.83,0
PAY_00409,340.69,card_expired,5,4,4,0,18.31,0
PAY_00410,683.74,other,23,13,2,0,6.73,0
PAY_00411,567.85,mandate_expired,27,7,2,0,6.24,1
PAY_00412,242.36,gateway_timeout,2,5,2,0,6.18,1
PAY_00413,1268.74,checkout_abandon,9,7,4,1,2.25,0
PAY_00414,5289.5,card_expired,53,14,3,0,18.98,0
PAY_00415,1880.25,gateway_timeout,38,12,2,0,3.2,1
PAY_00416,3046.77,insufficient_funds,48,10,2,0,7.94,0
PAY_00417,7429.87,mandate_expired,35,10,3,0,9.98,1
PAY_00418,9430.76,gateway_timeout,27,8,1,0,0.49,1
PAY_00419,2332.99,card_expired,2,5,1,0,8.23,0
PAY_00420,9678.21,insufficient_funds,33,7,0,0,4.26,1
PAY_00421,2741.26,gateway_timeout,47,8,1,0,1.79,1
PAY_00422,1082.09,gateway_timeout,13,8,2,0,2.21,1
PAY_00423,1379.73,mandate_expired,30,7,2,0,8.74,0
PAY_00424,568.79,card_expired,25,7,3,0,15.86,0
PAY_00425,1028.56,checkout_abandon,53,4,1,4,14.44,1
PAY_00426,1747.65,checkout_abandon,10,8,1,1,0.35,0
PAY_00427,5583.83,insufficient_funds,7,11,2,0,4.37,1
